phase_id,arm_id,kappa,beta,m,b_init,decision_count,decision_share
high-n06-p045,0,5,2,4,15,10040,0.051125629522504955
high-n06-p045,1,5,2,4,31,11886,0.060525819970567114
high-n06-p045,2,5,2,6,15,49190,0.250485031495221
high-n06-p045,3,5,2,6,31,78390,0.3991771014212314
high-n06-p045,4,5,2,10,15,1856,0.009451112389817648
high-n06-p045,5,5,2,10,31,1807,0.009201594875215782
high-n06-p045,6,5,3,4,15,1847,0.009405282642237714
high-n06-p045,7,5,3,4,31,1832,0.00932889972960449
high-n06-p045,10,5,3,10,15,451,0.0022965795731722844
high-n06-p045,11,5,3,10,31,418,0.00212853716537919
high-n06-p045,12,7,2,4,15,3164,0.016111702371434826
high-n06-p045,13,7,2,4,31,3244,0.016519077905478692
high-n06-p045,14,7,2,6,15,1184,0.006029157903849189
high-n06-p045,15,7,2,6,31,1169,0.005952774991215965
high-n06-p045,16,7,2,10,15,8753,0.04457197561857429
high-n06-p045,17,7,2,10,31,9869,0.05025486431848619
high-n06-p045,18,7,3,4,15,3404,0.01733382897356642
high-n06-p045,19,7,3,4,31,3394,0.017282907031810936
high-n06-p045,20,7,3,6,15,2227,0.01134031642894607
high-n06-p045,21,7,3,6,31,2254,0.011477805671685872
low-n04-p025,0,5,2,4,15,2838,0.021700897704506873
low-n04-p025,1,5,2,4,31,3228,0.024683050666014162
low-n04-p025,2,5,2,6,15,3772,0.02884277172001407
low-n04-p025,3,5,2,6,31,5843,0.04467876860022328
low-n04-p025,4,5,2,10,15,33297,0.254607043998226
low-n04-p025,5,5,2,10,31,33585,0.2568092492621083
low-n04-p025,6,5,3,4,15,173,0.001322852467540412
low-n04-p025,7,5,3,4,31,181,0.001384024835981587
low-n04-p025,12,7,2,4,15,1040,0.007952407897352765
low-n04-p025,13,7,2,4,31,1129,0.008632950496260838
low-n04-p025,14,7,2,6,15,703,0.005375521876768264
low-n04-p025,15,7,2,6,31,662,0.005062013488507241
low-n04-p025,16,7,2,10,15,20838,0.1593387266971509
low-n04-p025,17,7,2,10,31,23428,0.17914328097998133
low-n04-p025,18,7,3,4,15,30,0.0002293963816544067
low-n04-p025,19,7,3,4,31,27,0.00020645674348896602
low-n04-p025,21,7,3,6,31,4,3.058618422058756e-05
