scenario_id,arm_id,kappa,beta,m,b_init,decision_count,decision_share
poisson-n04-p025,0,5,2,4,15,748,0.0009353297037205615
poisson-n04-p025,1,5,2,4,31,860,0.0010753790711225707
poisson-n04-p025,2,5,2,6,15,3677,0.004597870749439177
poisson-n04-p025,3,5,2,6,31,3687,0.004610375157242928
poisson-n04-p025,4,5,2,10,15,219548,0.27453177244978855
poisson-n04-p025,5,5,2,10,31,216839,0.2711443283757525
poisson-n04-p025,12,7,2,4,15,6766,0.008460482320017806
poisson-n04-p025,13,7,2,4,31,6588,0.008237903861111041
poisson-n04-p025,14,7,2,6,15,3749,0.004687902485626183
poisson-n04-p025,15,7,2,6,31,4108,0.005136810725780838
poisson-n04-p025,16,7,2,10,15,171899,0.21494951970569626
poisson-n04-p025,17,7,2,10,31,161249,0.20163232539470163
poisson-n06-p045,0,5,2,4,15,150022,0.1250856711196194
poisson-n06-p045,1,5,2,4,31,159997,0.13340264842573585
poisson-n06-p045,2,5,2,6,15,170574,0.14222156260787058
poisson-n06-p045,3,5,2,6,31,254646,0.21231929855572249
poisson-n06-p045,4,5,2,10,15,1,8.33782186076838e-07
poisson-n06-p045,5,5,2,10,31,3,2.5013465582305143e-06
poisson-n06-p045,6,5,3,4,15,61206,0.05103247248101895
poisson-n06-p045,7,5,3,4,31,61295,0.05110667909557979
poisson-n06-p045,8,5,3,6,15,8686,0.007242232068263415
poisson-n06-p045,9,5,3,6,31,8633,0.007198041612401343
poisson-n06-p045,10,5,3,10,15,406,0.00033851556754719626
poisson-n06-p045,11,5,3,10,31,427,0.0003560249934548098
poisson-n06-p045,12,7,2,4,15,1447,0.0012064828232531846
poisson-n06-p045,13,7,2,4,31,1151,0.0009596832961744406
poisson-n06-p045,14,7,2,6,15,42,3.5018851815227196e-05
poisson-n06-p045,15,7,2,6,31,142,0.000118397070422911
poisson-n06-p045,16,7,2,10,15,4045,0.00337264894268081
poisson-n06-p045,17,7,2,10,31,3546,0.0029565916318284678
poisson-n06-p045,18,7,3,4,15,47757,0.039818935860471555
poisson-n06-p045,19,7,3,4,31,47952,0.039981523386756534
poisson-n06-p045,20,7,3,6,15,105321,0.08781477361979866
poisson-n06-p045,21,7,3,6,31,105548,0.0880040421760381
poisson-n06-p045,22,7,3,10,15,3238,0.0026997867185168016
poisson-n06-p045,23,7,3,10,31,3269,0.0027256339662851837
