scenario_a,scenario_b,best_arm_a,best_arm_b,margin_a_over_b,lower_a_over_b,margin_b_over_a,lower_b_over_a
periodic-n04-p030-i100-d2000,periodic-n06-p030-i030-d5000,16,2,0.0014339628515208276,0.0007531788391323957,0.0003407184677753176,-0.00015712844674331539
periodic-n04-p030-i100-d2000,poisson-n03-p045,16,4,0.00046375525622366354,-0.0018178380144476813,0.00038346822848030665,6.10582123725667e-05
periodic-n04-p030-i100-d2000,poisson-n04-p025,16,4,0.00046375525622366354,-0.0018178380144476813,0.000238572642785743,-0.0011207873450118644
periodic-n04-p030-i100-d2000,poisson-n05-p035,16,4,0.00046375525622366354,-0.0018178380144476813,1.215360029227508e-05,-0.0005302257688156731
periodic-n04-p030-i100-d2000,poisson-n06-p045,16,20,0.01702287402156662,0.016335593894378997,0.0005167640032371171,4.739594901481681e-05
periodic-n04-p030-i100-d2000,saturated-n03,16,0,0.0045406921109376235,0.0036731728807604114,0.0,0.0
periodic-n04-p030-i100-d2000,saturated-n06,16,6,0.02088726076975696,0.01908064527859321,3.903757994749846e-05,0.0
periodic-n04-p030-i100-d2000,turnover-n04-p030-j40-l400,16,14,0.0014857748794188108,-7.400162545079247e-05,0.0010912657492112936,-0.0014482713852864704
periodic-n04-p030-i100-d2000,turnover-n06-p030-j40-l400,16,4,0.00046375525622366354,-0.0018178380144476813,0.0015604624897343673,0.0007572576022594202
periodic-n06-p030-i030-d5000,poisson-n03-p015,2,16,0.0003407184677753176,-0.00015712844674331539,0.0008374326377148522,-0.0001151125601457359
periodic-n06-p030-i030-d5000,poisson-n03-p045,2,4,0.0008259874379876742,-0.0002710334645885659,0.0017586406196305286,0.0012409282661501875
periodic-n06-p030-i030-d5000,poisson-n04-p025,2,4,0.0008259874379876742,-0.0002710334645885659,0.0015692784972390905,0.0003412103362707697
periodic-n06-p030-i030-d5000,poisson-n05-p035,2,4,0.0008259874379876742,-0.0002710334645885659,0.0008534076222182682,-3.926451716040891e-05
periodic-n06-p030-i030-d5000,poisson-n06-p015,2,16,0.0003407184677753176,-0.00015712844674331539,0.0018449332894379482,0.0012410880995670226
periodic-n06-p030-i030-d5000,poisson-n06-p045,2,20,0.009232730948204315,0.007694136456483647,0.0007813437752885269,7.03678603481972e-05
periodic-n06-p030-i030-d5000,saturated-n03,2,0,0.00018440468540881216,-0.0012256780117173571,0.0,0.0
periodic-n06-p030-i030-d5000,saturated-n06,2,6,0.007397113452090376,0.006747750057250923,5.3718141417524734e-05,0.0
periodic-n06-p030-i030-d5000,turnover-n04-p030-j40-l400,2,14,0.001233768851161184,0.0004582104248139762,0.0007625109748897371,-0.0007597141570026
periodic-n06-p030-i030-d5000,turnover-n06-p030-j40-l400,2,4,0.0008259874379876742,-0.0002710334645885659,0.0036230282676114798,0.0021415090050559416
poisson-n03-p015,poisson-n03-p045,16,4,8.483741830178637e-05,2.7726042279185847e-05,0.00038346822848030665,6.10582123725667e-05
poisson-n03-p015,poisson-n04-p025,16,4,8.483741830178637e-05,2.7726042279185847e-05,0.000238572642785743,-0.0011207873450118644
poisson-n03-p015,poisson-n05-p035,16,4,8.483741830178637e-05,2.7726042279185847e-05,1.215360029227508e-05,-0.0005302257688156731
poisson-n03-p015,poisson-n06-p045,16,20,0.013853418286186877,0.01352426523804362,0.0005167640032371171,4.739594901481681e-05
poisson-n03-p015,saturated-n03,16,0,0.001984786808896836,0.001375505951671241,0.0,0.0
poisson-n03-p015,saturated-n06,16,6,0.01641991968462923,0.016103642351927183,3.903757994749846e-05,0.0
poisson-n03-p015,turnover-n04-p030-j40-l400,16,14,0.000911177858907708,0.00013599168188738187,0.0010912657492112936,-0.0014482713852864704
poisson-n03-p015,turnover-n06-p030-j40-l400,16,4,8.483741830178637e-05,2.7726042279185847e-05,0.0015604624897343673,0.0007572576022594202
poisson-n03-p045,poisson-n06-p015,4,16,0.00038346822848030665,6.10582123725667e-05,3.851054813105067e-05,-7.419219338666849e-05
poisson-n03-p045,poisson-n06-p045,4,20,0.015582838169073169,0.015298742696561618,0.00035413389596979555,9.085661604824047e-05
poisson-n03-p045,saturated-n03,4,0,0.003921810213629214,0.0023642244585384553,0.0,0.0
poisson-n03-p045,saturated-n06,4,6,0.01830238058894033,0.017981060691820705,3.903757994749846e-05,0.0
poisson-n03-p045,turnover-n04-p030-j40-l400,4,14,0.0018856550508219068,0.0010439231483219125,0.0008946242803666848,-0.0011857829048748103
poisson-n04-p025,poisson-n06-p015,4,16,0.000238572642785743,-0.0011207873450118644,3.851054813105067e-05,-7.419219338666849e-05
poisson-n04-p025,poisson-n06-p045,4,20,0.019250389377078164,0.016592663296499333,0.00035413389596979555,9.085661604824047e-05
poisson-n04-p025,saturated-n03,4,0,0.0043758233225203265,0.0034535371373410895,0.0,0.0
