scenario_id,best_arm,runner_up_arm,best_mean,paired_margin,lower_95
periodic-n04-p030-i100-d2000,16,17,0.6959298628264823,0.0,0.0
periodic-n06-p030-i030-d5000,2,3,0.8245311609889868,0.0,0.0
poisson-n03-p015,16,17,0.5611816220072949,0.0,0.0
poisson-n03-p045,4,5,0.7389287215538415,0.0,0.0
poisson-n04-p025,4,5,0.6613165881372152,0.0,0.0
poisson-n05-p035,4,5,0.7783153106502422,0.0,0.0
poisson-n06-p015,16,17,0.5949134950893762,0.0,0.0
poisson-n06-p045,20,21,0.9707650275017582,0.0,0.0
saturated-n03,0,1,0.9820927337940978,0.0,0.0
saturated-n06,6,7,0.9738385134312711,0.0,0.0
turnover-n04-p030-j40-l400,14,15,0.5846905913783108,0.0,0.0
turnover-n06-p030-j40-l400,4,5,0.5672028354629813,0.0,0.0
