"scenario_id","arm_id","mean_utility","mean_collision","mean_airtime","mean_p95_delay_us","mean_jain","alpha","kappa","beta","m","b_init"
"combined-n06-p030","4","0.547573030252423","0.1968","0.248242740740349","192808.666666667","0.927693683350253","11","5","2","10","15"
"combined-n06-p030","5","0.547573030252423","0.1968","0.248242740740349","192808.666666667","0.927693683350253","11","5","2","10","31"
"combined-n06-p030","17","0.54438389289153","0.2014","0.248079302525876","195573.333333333","0.92726904281538","11","7","2","10","31"
"combined-n06-p030","16","0.54438389289153","0.2014","0.248079302525876","195573.333333333","0.92726904281538","11","7","2","10","15"
"combined-n06-p030","3","0.541777550831659","0.203916666666667","0.247839415927446","198151","0.926732736567531","11","5","2","6","31"
"combined-n06-p030","2","0.541777550831659","0.203916666666667","0.247839415927446","198151","0.926732736567531","11","5","2","6","15"
"combined-n06-p030","15","0.541610351638781","0.204866666666667","0.249606199333854","199599.666666667","0.928074188915823","11","7","2","6","31"
"combined-n06-p030","14","0.541610351638781","0.204866666666667","0.249606199333854","199599.666666667","0.928074188915823","11","7","2","6","15"
"combined-n06-p030","12","0.537967867543414","0.205983333333333","0.246185265904919","202287","0.926779836725324","11","7","2","4","15"
"combined-n06-p030","13","0.537967867543414","0.205983333333333","0.246185265904919","202287","0.926779836725324","11","7","2","4","31"
"combined-n06-p030","1","0.532310815834929","0.209516666666667","0.246951090008617","210116.333333333","0.927351524162836","11","5","2","4","31"
"combined-n06-p030","0","0.532310815834929","0.209516666666667","0.246951090008617","210116.333333333","0.927351524162836","11","5","2","4","15"
"combined-n06-p030","11","0.333175659514748","0.234166666666667","0.247899614912353","616139","0.92725236363189","11","5","3","10","31"
"combined-n06-p030","10","0.333175659514748","0.234166666666667","0.247899614912353","616139","0.92725236363189","11","5","3","10","15"
"combined-n06-p030","22","0.332663189943291","0.233166666666667","0.246181532465559","564213.333333333","0.926683037364312","11","7","3","10","15"
"combined-n06-p030","23","0.332663189943291","0.233166666666667","0.246181532465559","564213.333333333","0.926683037364312","11","7","3","10","31"
"combined-n06-p030","21","0.331718901229566","0.236783333333333","0.247383964168488","661463","0.925360239520211","11","7","3","6","31"
"combined-n06-p030","20","0.331718901229566","0.236783333333333","0.247383964168488","661463","0.925360239520211","11","7","3","6","15"
"combined-n06-p030","9","0.331660857751551","0.23875","0.24715085542871","654278.333333333","0.926894217825943","11","5","3","6","31"
"combined-n06-p030","8","0.331660857751551","0.23875","0.24715085542871","654278.333333333","0.926894217825943","11","5","3","6","15"
"combined-n06-p030","18","0.33078548130408","0.241466666666667","0.247281711619597","688274","0.926174732292642","11","7","3","4","15"
"combined-n06-p030","19","0.33078548130408","0.241466666666667","0.247281711619597","688274","0.926174732292642","11","7","3","4","31"
"combined-n06-p030","6","0.327965564345861","0.2453","0.244004706735004","683553.333333333","0.92386698630258","11","5","3","4","15"
"combined-n06-p030","7","0.327965564345861","0.2453","0.244004706735004","683553.333333333","0.92386698630258","11","5","3","4","31"
"turnover-n06-p030-j10-l200","4","0.539973527325049","0.200483333333333","0.2457203705998","199769.333333333","0.924101378042012","11","5","2","10","15"
"turnover-n06-p030-j10-l200","5","0.539973527325049","0.200483333333333","0.2457203705998","199769.333333333","0.924101378042012","11","5","2","10","31"
"turnover-n06-p030-j10-l200","3","0.536574223816928","0.20445","0.245353325340636","203060.333333333","0.923827512776817","11","5","2","6","31"
"turnover-n06-p030-j10-l200","2","0.536574223816928","0.20445","0.245353325340636","203060.333333333","0.923827512776817","11","5","2","6","15"
"turnover-n06-p030-j10-l200","17","0.533185077844611","0.202183333333333","0.244328302563596","207758","0.922380430970235","11","7","2","10","31"
"turnover-n06-p030-j10-l200","16","0.533185077844611","0.202183333333333","0.244328302563596","207758","0.922380430970235","11","7","2","10","15"
"turnover-n06-p030-j10-l200","15","0.532201989912259","0.205183333333333","0.246280279111935","210521.666666667","0.925256523958175","11","7","2","6","31"
"turnover-n06-p030-j10-l200","14","0.532201989912259","0.205183333333333","0.246280279111935","210521.666666667","0.925256523958175","11","7","2","6","15"
"turnover-n06-p030-j10-l200","13","0.525519036828286","0.21085","0.243811816992452","215620.666666667","0.92212412682574","11","7","2","4","31"
"turnover-n06-p030-j10-l200","12","0.525519036828286","0.21085","0.243811816992452","215620.666666667","0.92212412682574","11","7","2","4","15"
"turnover-n06-p030-j10-l200","1","0.523254436497167","0.2123","0.245035908945306","220228.333333333","0.924409067212862","11","5","2","4","31"
"turnover-n06-p030-j10-l200","0","0.523254436497167","0.2123","0.245035908945306","220228.333333333","0.924409067212862","11","5","2","4","15"
"turnover-n06-p030-j10-l200","11","0.328597200303014","0.238333333333333","0.2435091194404","666970.666666667","0.921032481468643","11","5","3","10","31"
"turnover-n06-p030-j10-l200","10","0.328597200303014","0.238333333333333","0.2435091194404","666970.666666667","0.921032481468643","11","5","3","10","15"
"turnover-n06-p030-j10-l200","23","0.327847342544525","0.237783333333333","0.242088794633795","668997.666666667","0.919790732999779","11","7","3","10","31"
"turnover-n06-p030-j10-l200","22","0.327847342544525","0.237783333333333","0.242088794633795","668997.666666667","0.919790732999779","11","7","3","10","15"
"turnover-n06-p030-j10-l200","21","0.325750318402239","0.243216666666667","0.240850998979236","704219","0.918812456227481","11","7","3","6","31"
"turnover-n06-p030-j10-l200","20","0.325750318402239","0.243216666666667","0.240850998979236","704219","0.918812456227481","11","7","3","6","15"
"turnover-n06-p030-j10-l200","9","0.325268526191515","0.245183333333333","0.241014054749093","714327.666666667","0.918679023825453","11","5","3","6","31"
"turnover-n06-p030-j10-l200","8","0.325268526191515","0.245183333333333","0.241014054749093","714327.666666667","0.918679023825453","11","5","3","6","15"
"turnover-n06-p030-j10-l200","19","0.323438867380971","0.247083333333333","0.239258564932282","731472.333333333","0.91637053721063","11","7","3","4","31"
