scenario_id,family,seed_count,baseline_mean,candidate_mean,utility_difference,relative_difference,lower_95,upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference,fairness_difference
combined-n03-p020,combined,3,0.530830504739129,0.5459849899971075,0.015154485257978504,0.028548632986768564,0.013069070164759222,0.01764675895690604,3,-0.047133333333333326,0.002962106418288951,-2829.3333333333335,0.0014926826889799516
combined-n03-p025,combined,3,0.5608277099619446,0.5782081330895612,0.017380423127616635,0.030990664011227256,0.014798337374022474,0.018747725025454964,3,-0.05308333333333334,0.0020336701267328707,-4567.666666666667,0.001159765922783514
combined-n03-p030,combined,3,0.58194743881949,0.600079979514137,0.01813254069464713,0.031158382158068973,0.017194802931731812,0.019370489823920867,3,-0.057150000000000006,0.003568232473389832,-2695.6666666666665,0.0025755562772182086
combined-n03-p035,combined,3,0.6013289291827298,0.6179466670007436,0.01661773781801379,0.027635021386047513,0.015611471583625414,0.017660734060733096,3,-0.05433333333333334,0.002654709805411335,-2650.3333333333335,0.0011478369819633756
combined-n04-p020,combined,3,0.5061293819158798,0.525349684237947,0.019220302322067395,0.03797507714195867,0.01806669279584061,0.020071105419351865,3,-0.05181666666666667,0.0022965655679421846,-6173.0,0.004155841398260122
combined-n04-p025,combined,3,0.5379764138352013,0.562664454799889,0.024688040964687647,0.04589056384217311,0.023053745734336273,0.02736079405279479,3,-0.06138333333333334,0.003936857579354941,-10026.666666666666,0.004036431981374451
combined-n04-p030,combined,3,0.5649383263837692,0.5859836550095278,0.021045328625758548,0.0372524356073909,0.018842286925157437,0.023378603453607205,3,-0.059983333333333326,0.004597079160130672,-4833.666666666667,0.0038840733838113963
combined-n04-p035,combined,3,0.5924823812878269,0.6096357473255577,0.01715336603773084,0.028951689669566332,0.014607623568501982,0.021164312497993887,3,-0.04445000000000001,0.006820646164844892,-2836.0,0.005629951948347663
combined-n05-p020,combined,3,0.47063081319050903,0.5071139593564603,0.03648314616595133,0.07751967177547113,0.035822770085374545,0.036987168138594484,3,-0.06233333333333333,0.0052075672549819485,-23414.333333333332,0.01066320457620551
combined-n05-p025,combined,3,0.5101283111064211,0.5427088200630352,0.03258050895661413,0.06386728249986758,0.025520668629212317,0.03855822956706534,3,-0.055649999999999984,0.006007263370743847,-21378.0,0.007240763499098561
combined-n05-p030,combined,3,0.5508122112892551,0.5721985433542253,0.021386332064970242,0.03882690257522153,0.020342341344035675,0.022811688408954645,3,-0.04736666666666667,0.0024001193097518414,-11417.0,0.003399876885158859
combined-n05-p035,combined,3,0.5868465441639463,0.6052698903496702,0.018423346185723832,0.03139380536349709,0.013300174259454844,0.022569926834965948,3,-0.03545,0.002553432233523741,-10702.333333333334,0.004724439656980846
combined-n06-p020,combined,3,0.2984749717822788,0.4659241524524182,0.16744918067013945,0.5610158187477257,0.16129903842612453,0.17339883036345272,3,-0.056383333333333334,0.004346726628946039,-773430.0,0.010923315381472213
combined-n06-p025,combined,3,0.3108506140533734,0.5027617539580881,0.19191113990471473,0.6173741701914842,0.1894604493873043,0.1953177574128716,3,-0.04721666666666666,0.0025437666208442955,-627319.3333333334,0.0063584864266332435
combined-n06-p030,combined,3,0.33174639745862117,0.55080402032586,0.21905762286723882,0.6603165084695817,0.21305355983531857,0.22247478786265262,3,-0.039233333333333335,0.003709623601389674,-439985.0,0.0030702450003267843
combined-n06-p035,combined,3,0.5733381636520869,0.5901313779379315,0.016793214285844533,0.029290243263895115,0.012331211090655714,0.019504989183282362,3,-0.021633333333333338,-0.0039930338100289675,-20704.666666666668,-0.003261656665770755
load-n03-p015,load,3,0.5479546393103043,0.5609236867559896,0.012969047445685241,0.023668104100750074,0.011985185930820763,0.013505462707870008,3,-0.05353333333333335,-4.1083308673269446e-05,638.6666666666666,7.555897906249183e-05
load-n03-p025,load,3,0.6212222042853072,0.6380320126300947,0.016809808344787475,0.027059252275321563,0.01598337115979276,0.01748017032137883,3,-0.06678333333333333,0.00015605771262977575,-27.666666666666668,0.0001305339883993506
load-n03-p035,load,3,0.6702217987019505,0.6892069452269984,0.018985146525047902,0.02832666225094038,0.018423323889565912,0.01949841781867001,3,-0.07291666666666667,0.0008965938018389111,-660.3333333333334,5.067910663784462e-05
load-n03-p045,load,3,0.7232002413992835,0.7370026091880408,0.013802367788757283,0.019085126080781972,0.012575247234646425,0.014786363754885179,3,-0.05233333333333332,0.0007018717413655636,-697.3333333333334,6.0564958239769005e-05
load-n04-p015,load,3,0.5569168175296505,0.5726754165147984,0.015758598985147903,0.028296144934263738,0.014824285508632018,0.01689084272350294,3,-0.06488333333333332,4.182934871464298e-05,635.6666666666666,-0.0001571990599376812
load-n04-p025,load,3,0.6435962852653608,0.6626999081267967,0.019103622861435816,0.02968261827918912,0.018113596256624565,0.02019437786330014,3,-0.07451666666666666,-3.159652585249528e-05,-664.6666666666666,0.00012563177682671048
load-n04-p035,load,3,0.7156129637791585,0.7304941935190427,0.014881229739884113,0.020795081270322726,0.013221965473203201,0.016775442767111404,3,-0.05634999999999998,0.0010080773122706315,-658.6666666666666,5.57785740482597e-05
load-n04-p045,load,3,0.7995835198851511,0.8043698771031638,0.004786357218012793,0.005986062867704285,0.004624235361968876,0.004898082159058181,3,-0.01773333333333334,-0.0003365249371697354,-702.3333333333334,-9.07007545854673e-06
load-n05-p015,load,3,0.5629068219565033,0.580516375557187,0.017609553600683652,0.03128324780196814,0.016838807618380525,0.018840818826889705,3,-0.07188333333333335,-0.00012529983411709486,545.3333333333334,0.00013212730283470217
load-n05-p025,load,3,0.6688005589517637,0.6864591387342399,0.017658579782476314,0.026403356794667262,0.016815281083362388,0.018377274669427957,3,-0.07116666666666667,0.0007810373041830151,649.6666666666666,0.00011903537657938686
load-n05-p035,load,3,0.769022430980382,0.7747753350577592,0.00575290407737709,0.007480801398787609,0.004341879660721637,0.006819002732297519,3,-0.01946666666666666,2.5804575970493165e-05,-1333.3333333333333,-3.375901050595154e-05
load-n05-p045,load,3,0.8951541278920437,0.9001718184916395,0.00501769059959567,0.005605392907489119,0.004846367839734023,0.00511137776175008,3,0.0006333333333333376,-0.0005089347337863629,-8006.333333333333,2.4339865906960096e-05
load-n06-p015,load,3,0.5746486923371633,0.5938848061124128,0.019236113775249475,0.033474562862074835,0.017549930265434055,0.02157561338850089,3,-0.07679999999999998,2.4193416025849086e-05,-6.666666666666667,7.081457638924427e-05
load-n06-p025,load,3,0.7040744249222292,0.7165568270160639,0.012482402093834999,0.017728810551830204,0.011434791411172651,0.013146834573111055,3,-0.04703333333333335,-0.0006728866898632427,-1293.6666666666667,0.00025775963803487123
load-n06-p035,load,3,0.8575761621890416,0.8633711620115813,0.005794999822539615,0.006757417099546409,0.005199835627349603,0.006488551097931228,3,0.0008666666666666822,-0.0006673595603850687,-9343.666666666666,1.5025694670600664e-05
load-n06-p045,load,3,0.9716007894384945,0.9711678027821392,-0.000432986656355272,-0.00044564255305463757,-0.000881152624873649,-8.560544668223535e-05,0,0.0007500000000000001,-0.0007499000434889972,0.0,1.3440074423091511e-05
turnover-n03-p020-j10-l200,turnover,3,0.534621171644991,0.5506786258642381,0.01605745421924702,0.030035200756901158,0.013382500416136311,0.017898341807940255,3,-0.05011666666666668,0.0019170097670221469,-3466.6666666666665,0.001734519557385461
turnover-n03-p025-j10-l200,turnover,3,0.5617696697103416,0.5801902962712968,0.01842062656095526,0.03279035439996834,0.016848557547601617,0.019553464953079747,3,-0.05338333333333334,0.00350057249065149,-4638.0,0.0024478071922144537
turnover-n03-p030-j10-l200,turnover,3,0.5855134405269896,0.6040863384897497,0.01857289796276011,0.031720703022707096,0.016497702671361525,0.020422342007876293,3,-0.056933333333333336,0.0038868364733639547,-3252.0,0.0026278574149162237
turnover-n03-p035-j10-l200,turnover,3,0.603311106662331,0.6213987952596086,0.018087688597277645,0.029980698842663935,0.014561831536229142,0.019895797182611807,3,-0.05896666666666666,0.00493749397316313,-1510.3333333333333,0.0020799051520029956
turnover-n04-p020-j10-l200,turnover,3,0.5105412900060116,0.5345234562434017,0.023982166237390135,0.04697399937448301,0.021196854530051046,0.02561888376189525,3,-0.058166666666666665,0.004009290833742231,-9340.333333333334,0.005631541211761422
turnover-n04-p025-j05-l100,turnover,3,0.32040518310731403,0.3380506354977022,0.017645452390388155,0.055072306319333554,0.015889492171009434,0.019171368732959437,3,-0.057649999999999986,0.0046024660752851014,-5412.666666666667,0.005096391095879449
turnover-n04-p025-j10-l200,turnover,3,0.543010876284415,0.5660211494852075,0.023010273200792557,0.04237534496222572,0.020937681665860852,0.026361982364230263,3,-0.05648333333333334,0.00522462204237754,-8111.333333333333,0.0052210308933337375
turnover-n04-p025-j20-l400,turnover,3,0.5642360017803992,0.5828444351453844,0.01860843336498515,0.03297987598499175,0.017028245977739886,0.019943985131324116,3,-0.058149999999999986,0.004610690478250727,-1357.3333333333333,0.0048874429500378085
turnover-n04-p030-j10-l200,turnover,3,0.5680524890332117,0.5905949324634996,0.022542443430287884,0.03968373322094522,0.019619216724562794,0.024978345406689417,3,-0.05678333333333333,0.005374103056849201,-6647.0,0.006371727234014357
turnover-n04-p035-j05-l100,turnover,3,0.38047939056760605,0.40159872795416945,0.02111933738656337,0.05550717833903476,0.019458805958572023,0.022174107876788862,3,-0.056399999999999985,0.006081959421804284,-5364.333333333333,0.0042473860712190685
turnover-n04-p035-j10-l200,turnover,3,0.5897397603714772,0.611560530339074,0.021820769967596593,0.03700067628787939,0.01902656618608345,0.023535164065393466,3,-0.0544,0.0047795900754770415,-7377.0,0.005128719827312667
turnover-n04-p035-j20-l400,turnover,3,0.6081225073331288,0.6261182136714879,0.01799570633835912,0.02959223860547081,0.01671581528522481,0.019826467066345055,3,-0.050249999999999996,0.007224068159855546,-1271.6666666666667,0.006532217521888224
turnover-n05-p020-j10-l200,turnover,3,0.4789513231682185,0.507533385536397,0.028582062368178618,0.05967634075862017,0.024340008116664535,0.034912433892698824,3,-0.05595,0.0037156747534503134,-16996.0,0.006076012351085495
