scenario_id,family,seed_count,baseline_mean,candidate_mean,utility_difference,relative_difference,lower_95,upper_95,positive_seeds,collision_difference,effective_airtime_difference,p95_delay_difference,fairness_difference
combined-a,combined,3,0.3208580219694959,0.33931915859542267,0.01846113662592676,0.05753677752112387,0.0182099495355309,0.01860952581011427,3,-0.05941666666666665,0.004556168148231667,-11903.333333333334,0.006264741729548569
combined-b,combined,3,0.5907791812281894,0.6103110665495518,0.01953188532136248,0.033061228191482696,0.016427454185499735,0.025071576924445504,3,-0.051566666666666656,0.0019528985384950441,-8060.0,0.001847757425592252
combined-c,combined,3,0.6652464610714741,0.6691510095388437,0.0039045484673693918,0.005869326175866552,0.0015355185281769046,0.00558214610849761,3,-0.01886666666666667,-0.0038455614536792395,-1357.3333333333333,-0.0013054598108793725
combined-d,combined,3,0.7154288028152053,0.7230288254518683,0.007600022636662929,0.010623031399849873,0.006953858168364135,0.008251754451169102,3,-0.01993333333333333,0.0016523659725616868,-2641.0,0.0009157019374270714
combined-e,combined,3,0.32593479028014677,0.33161028026438716,0.005675489984240427,0.017412961590759432,0.004563821606232421,0.006271579619710588,3,-0.03003333333333333,-0.0023704467350312655,37980.666666666664,-0.0031280833122474907
combined-f,combined,3,0.4114821862149958,0.4042901894930408,-0.00719199672195503,-0.0174782699297638,-0.009231930736047056,-0.004884435570801482,0,0.005433333333333318,-0.010881622004016064,54976.0,-0.006619368161848975
combined-g,combined,3,0.7502269519997017,0.7449985587502231,-0.005228393249478658,-0.006969082136468935,-0.006495804691301843,-0.0031826602853690655,0,0.010133333333333333,-0.0098036278465126,-4036.0,-0.006353551901923253
combined-h,combined,3,0.7096947026507986,0.7084831424644573,-0.001211560186341239,-0.0017071568687435739,-0.0027978995559936326,0.0008569370896798212,1,-0.011099999999999994,-0.004674510115205477,-1310.3333333333333,-0.009905837110485094
load-p015,load,3,0.5548500693577109,0.571147108236422,0.016297038878710996,0.029371968715037364,0.01500132854178049,0.018012846350441092,3,-0.0649,0.0002731773075179411,-10.333333333333334,-7.772733805178067e-05
load-p025,load,3,0.6437220676455698,0.6625360843178368,0.018814016672267047,0.02922692512481326,0.018027494812535294,0.02004533033767464,3,-0.07388333333333333,-0.0003901193469438291,-650.3333333333334,0.00011900269707817064
load-p035,load,3,0.7157112729225714,0.7289365483057785,0.013225275383206947,0.018478506464208944,0.011737597772539576,0.014290025072597912,3,-0.05506666666666665,-0.0018537903455374909,28.0,0.00028561649515849535
load-p045,load,3,0.7964811289008719,0.8028901756056844,0.006409046704812571,0.008046702517179444,0.005591824129701495,0.007237348481175299,3,-0.018950000000000005,0.0009562401169381415,-1983.0,9.23999974996222e-05
load-p055,load,3,0.8922698836687344,0.8949718682061224,0.0027019845373880136,0.003028214430233036,0.002387742160530837,0.002974645905080897,3,-0.00025000000000000483,-4.6359569391141164e-05,-3993.6666666666665,-2.252015177802343e-05
load-p065,load,3,0.9777644164361914,0.9776349819624156,-0.0001294344737756692,-0.00013237797530762978,-0.00043270960985164475,0.00041274028270676943,1,0.0001999999999999998,-0.0002487862380861812,0.0,1.0482816758787076e-05
load-p075,load,3,0.978967018139493,0.9789432609643995,-2.3757175093508387e-05,-2.4267594978489077e-05,-4.4862569983150635e-05,0.0,0,3.333333333333335e-05,-4.138603609682434e-05,0.0,-4.885489183944121e-06
load-p085,load,3,0.9791189054991899,0.9789543420402894,-0.00016456345890029458,-0.0001680730072476685,-0.00046175676905468865,0.00013760547975816273,1,0.00026666666666666673,-0.00029332219028858447,0.0,-3.681864121733251e-07
occupancy-i010-d0500,occupancy,3,0.7187276166120672,0.7292309018307382,0.010503285218671018,0.014613721493242913,0.00994299702448409,0.011075485701787846,3,-0.044549999999999985,-0.0003047138953636841,806.0,1.4069551376727496e-05
occupancy-i010-d2000,occupancy,3,0.731455501808009,0.7365642662945401,0.005108764486530933,0.006984381789327044,0.0033828310672718853,0.007750674489092058,3,-0.020299999999999985,-0.0012812877855289766,-671.6666666666666,3.9247911788590585e-05
occupancy-i010-d5000,occupancy,3,0.8041351838507823,0.8039588023753406,-0.00017638147544181879,-0.00021934306443000838,-0.0003066804225694275,-7.363915432434531e-05,0,0.00043333333333333337,-0.0002126682279153247,0.0,8.523801589851073e-06
occupancy-i030-d0500,occupancy,3,0.7157508174043894,0.7294252587134068,0.013674441309017368,0.01910503065662794,0.011983666467621723,0.01492584879838077,3,-0.052233333333333326,0.00016047546856793696,-810.0,6.784845848432457e-05
occupancy-i030-d2000,occupancy,3,0.7188655720296352,0.7313562648508433,0.012490692821208108,0.017375561311055776,0.011528635099052442,0.01380860460607125,3,-0.04388333333333332,0.001997153826775233,-1331.0,-9.957536315112019e-05
occupancy-i030-d5000,occupancy,3,0.7236688655671143,0.7325274030283943,0.008858537461279847,0.012241147688919459,0.007064513538927786,0.010524647800712605,3,-0.03118333333333333,0.0018321237961698527,-675.6666666666666,4.655254336238812e-06
occupancy-i100-d2000,occupancy,3,0.7115857540163972,0.7256823704056888,0.01409661638929153,0.019810144188140533,0.013132234725483971,0.01600150733434169,3,-0.05481666666666665,-0.00012859443931341938,-656.0,-6.056392811963167e-06
occupancy-i300-d2000,occupancy,3,0.7168004575442053,0.7303397254021201,0.013539267857914742,0.018888475468195096,0.011463999796215152,0.01479925637139512,3,-0.05341666666666667,0.0003257521781070416,-28.0,0.0001735513956372392
sensing-p035-s04,sensing,3,0.7173062750842911,0.73026117446631,0.012954899382018917,0.018060485223688555,0.011941754167332563,0.013547747086581907,3,-0.05261666666666668,-0.000876668189327671,-13.666666666666666,0.000251533002051089
sensing-p035-s08,sensing,3,0.7138717179470793,0.7276107318757178,0.013739013928638522,0.01924577425219838,0.012307254926931521,0.015584222323346997,3,-0.05230000000000001,0.0005285798561055858,-667.6666666666666,0.00012812859647633643
sensing-p035-s12,sensing,3,0.713506028210794,0.7257250707054511,0.01221904249465707,0.01712535285132468,0.01213210118238095,0.012336264059739976,3,-0.051116666666666664,-0.0004630181029125306,641.3333333333334,6.531225355044246e-05
sensing-p055-s04,sensing,3,0.8911380747902165,0.8937617834244674,0.0026237086342509874,0.0029442223472144168,0.0020841741831350014,0.002922311152007473,3,-0.001316666666666665,0.00019248426357495094,-3344.3333333333335,2.4749725109352028e-06
sensing-p055-s08,sensing,3,0.8895587618801489,0.8921231569590654,0.0025643950789165926,0.002882771986300885,0.002331988194296808,0.002894520799240019,3,-4.999999999999912e-05,-0.0003430563529625748,-4006.6666666666665,-1.4591743621172881e-05
sensing-p055-s12,sensing,3,0.8940364995137093,0.8967502079228047,0.002713708409095461,0.003035344094532517,0.0025987738349235734,0.002784645925005158,3,-0.0003499999999999985,-0.0001297607444413762,-4007.3333333333335,-6.280694938576303e-06
turnover-j05-l100,turnover,3,0.38530461538452987,0.4020715170760865,0.016766901691556646,0.043515963790943586,0.012980524607604627,0.019342447754017,3,-0.05281666666666665,0.005103305424949282,-644.6666666666666,0.004295566316387463
turnover-j10-l100,turnover,3,0.3128483764032643,0.33051472099656737,0.017666344593303112,0.056469350413156816,0.014566510662161525,0.02095917145668924,3,-0.05393333333333333,0.0036815900011669955,-28055.666666666668,0.008867443778742304
turnover-j10-l200,turnover,3,0.5907653838113954,0.6096490463119285,0.018883662500533045,0.031964741025790604,0.01451404057150918,0.021724178950311535,3,-0.05296666666666666,0.0041226030231076944,-4612.666666666667,0.003578051145158301
turnover-j20-l200,turnover,3,0.5761922146136643,0.5935191946995254,0.01732698008586116,0.030071527602084775,0.015327492314209823,0.019120383232408722,3,-0.051833333333333335,0.0031241796501172334,-1990.6666666666667,0.006000427274133006
turnover-j20-l400,turnover,3,0.6072298915776558,0.6237985008473165,0.01656860926966075,0.027285562683045005,0.014695379070965076,0.017911529856940223,3,-0.05030000000000001,0.004984695812411372,-1268.6666666666667,0.004458798663237358
turnover-j40-l400,turnover,3,0.5840046350664253,0.6028577841523007,0.01885314908587536,0.03228253331196761,0.01693476620398182,0.02118702463147959,3,-0.050566666666666656,0.004849482033247689,-1281.6666666666667,0.011221631891045192
